CommitId;RefactoringType;RefactoringDetail
b1999ad67c53c9dd201f3e9fd7dbbf273e569631;Rename Parameter;Rename Parameter	targetImageSize : ImageSize to targetSize : ImageSize in method public displayImage(uri String, imageAware ImageAware, options DisplayImageOptions, targetSize ImageSize, listener ImageLoadingListener, progressListener ImageLoadingProgressListener) : void in class com.nostra13.universalimageloader.core.ImageLoader
5cea0acb4b5899845866d292a1fa5b6f4faf2870;Extract Method;Extract Method	public displayImage(uri String, imageAware ImageAware, options DisplayImageOptions, targetImageSize ImageSize, listener ImageLoadingListener, progressListener ImageLoadingProgressListener) : void extracted from public displayImage(uri String, imageAware ImageAware, options DisplayImageOptions, listener ImageLoadingListener, progressListener ImageLoadingProgressListener) : void in class com.nostra13.universalimageloader.core.ImageLoader
d8f0a5808929eb50fd334e6bde715a5702dc0314;Rename Class;Rename Class	com.nostra13.universalimageloader.core.display.CircleBitmapDisplayer.RoundedDrawable renamed to com.nostra13.universalimageloader.core.display.CircleBitmapDisplayer.CircleDrawable
645effee5ab08876708a74fcc8202eaa50897d75;Extract Method;Extract Method	public displayImage(uri String, imageAware ImageAware, options DisplayImageOptions, targetImageSize ImageSize, listener ImageLoadingListener, progressListener ImageLoadingProgressListener) : void extracted from public displayImage(uri String, imageAware ImageAware, options DisplayImageOptions, listener ImageLoadingListener, progressListener ImageLoadingProgressListener) : void in class com.nostra13.universalimageloader.core.ImageLoader
e7058df3b5d669902d63eeb8cb9d60ae9be0287c;Move Source Folder;Move Source Folder	sample/src to sample/src/main/java
d1ef47402a1e79b5810935275960fdbc02b6c185;Move Source Folder;Move Source Folder	library/src to library/src/main/java
d1ef47402a1e79b5810935275960fdbc02b6c185;Move Source Folder;Move Source Folder	library/test to library/src/test/java
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageListFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageListFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment to class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment to class com.nostra13.universalimageloader.sample.fragment.ImageListFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment to class com.nostra13.universalimageloader.sample.fragment.ImageListFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageListFragment to class com.nostra13.universalimageloader.sample.fragment.ImageListFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment to class com.nostra13.universalimageloader.sample.fragment.ImageListFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGalleryFragment to class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageGridFragment to class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImageListFragment to class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment.ImageAdapter
fa5b38ba8dbe5fbfcf279ee18e95dc1b162f0d3d;Move Attribute;Move Attribute	private options : DisplayImageOptions from class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment to class com.nostra13.universalimageloader.sample.fragment.ImagePagerFragment.ImageAdapter
f7553f0502ebc0efb030023aeced8fac3ed6cd19;Extract Method;Extract Method	protected getContactPhotoStream(uri Uri) : InputStream extracted from protected getStreamFromContent(imageUri String, extra Object) : InputStream in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
c4dbf64cbf6bbd6e9aaacfddeba0f5cdf8c53e98;Extract Method;Extract Method	public getIndividualCacheDirectory(context Context, cacheDir String) : File extracted from public getIndividualCacheDirectory(context Context) : File in class com.nostra13.universalimageloader.utils.StorageUtils
c4dbf64cbf6bbd6e9aaacfddeba0f5cdf8c53e98;Rename Variable;Rename Variable	cacheDir : File to appCacheDir : File in method public getIndividualCacheDirectory(context Context, cacheDir String) : File in class com.nostra13.universalimageloader.utils.StorageUtils
4902f20b991a9a66a9e42a4163c49d6298939406;Rename Attribute;Rename Attribute	emptyListener : ImageLoadingListener to defaultListener : ImageLoadingListener in class com.nostra13.universalimageloader.core.ImageLoader
eb794c306c1707a6cce80764b01f52109d5b9056;Extract Method;Extract Method	protected shouldBeProcessed(conn HttpURLConnection) : boolean extracted from protected getStreamFromNetwork(imageUri String, extra Object) : InputStream in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Rename Parameter;Rename Parameter	imageUri : String to filePath : String in method private getVideoThumbnailStream(filePath String) : InputStream in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Rename Method;Rename Method	protected getStreamFromSdCardVideo(imageUri String, extra Object) : InputStream renamed to private getVideoThumbnailStream(filePath String) : InputStream in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Rename Method;Rename Method	private isVideoUri(uri Uri) : boolean renamed to private isVideoContentUri(uri Uri) : boolean in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Change Parameter Type;Change Parameter Type	uri : Uri to uri : String in method private isVideoFileUri(uri String) : boolean in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Rename Method;Rename Method	private isSDCardVideoUri(uri Uri) : boolean renamed to private isVideoFileUri(uri String) : boolean in class com.nostra13.universalimageloader.core.download.BaseImageDownloader
fe2fd9f69e0ddb4e4d631a9c1e25ffe405156129;Extract Variable;Extract Variable	imageStream : BufferedInputStream in method protected getStreamFromFile(imageUri String, extra Object) : InputStream from class com.nostra13.universalimageloader.core.download.BaseImageDownloader
3a6bd6803e4d6b1c56c2acb71b4cf19f952566f0;Rename Class;Rename Class	com.nostra13.universalimageloader.cache.disc.impl.BaseDiscCache renamed to com.nostra13.universalimageloader.cache.disc.impl.BaseDiskCache
3a6bd6803e4d6b1c56c2acb71b4cf19f952566f0;Rename Class;Rename Class	com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache renamed to com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiskCache
3a6bd6803e4d6b1c56c2acb71b4cf19f952566f0;Rename Class;Rename Class	com.nostra13.universalimageloader.cache.disc.impl.UnlimitedDiscCache renamed to com.nostra13.universalimageloader.cache.disc.impl.UnlimitedDiskCache
3a6bd6803e4d6b1c56c2acb71b4cf19f952566f0;Rename Class;Rename Class	com.nostra13.universalimageloader.cache.disc.impl.ext.LruDiscCache renamed to com.nostra13.universalimageloader.cache.disc.impl.ext.LruDiskCache
06a6f83e45931ed28a2b09647fa131d66f230262;Change Package;Change Package	com.nostra13.example.universalimageloader to com.nostra13.universalimageloader.sample
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageGridActivity.ViewHolder moved to com.nostra13.example.universalimageloader.fragment.ImageGridFragment.ViewHolder
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageListActivity.ViewHolder moved to com.nostra13.example.universalimageloader.fragment.ImageListFragment.ViewHolder
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageListActivity.AnimateFirstDisplayListener moved to com.nostra13.example.universalimageloader.fragment.ImageListFragment.AnimateFirstDisplayListener
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move Class;Move Class	com.nostra13.example.universalimageloader.HomeActivity moved to com.nostra13.example.universalimageloader.activity.HomeActivity
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter moved to com.nostra13.example.universalimageloader.fragment.ImageGridFragment.ImageAdapter
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move And Rename Class;Move And Rename Class	com.nostra13.example.universalimageloader.ImageGalleryActivity moved and renamed to com.nostra13.example.universalimageloader.fragment.ImageGalleryFragment
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move And Rename Class;Move And Rename Class	com.nostra13.example.universalimageloader.ImageGalleryActivity.ImageGalleryAdapter moved and renamed to com.nostra13.example.universalimageloader.fragment.ImageGalleryFragment.ImageAdapter
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move And Rename Class;Move And Rename Class	com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter moved and renamed to com.nostra13.example.universalimageloader.fragment.ImageListFragment.ImageAdapter
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move And Rename Class;Move And Rename Class	com.nostra13.example.universalimageloader.ImagePagerActivity moved and renamed to com.nostra13.example.universalimageloader.activity.ComplexImageActivity
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Move And Rename Class;Move And Rename Class	com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter moved and renamed to com.nostra13.example.universalimageloader.fragment.ImagePagerFragment.ImageAdapter
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Replace Attribute;Replace Attribute	private images : String[] from class com.nostra13.example.universalimageloader.ImagePagerActivity.ImagePagerAdapter with package imageUrls : String[] from class com.nostra13.example.universalimageloader.fragment.ImageGalleryFragment
bea0d8dee5c7d36524cc1a07ad2cbe371b2e842e;Extract Superclass;Extract Superclass	com.nostra13.example.universalimageloader.fragment.BaseFragment from classes [com.nostra13.example.universalimageloader.fragment.ImageGalleryFragment]
54a9038d7cc13fd46a922ce1c059610d0690115d;Extract Variable;Extract Variable	externalStorageState : String in method public getCacheDirectory(context Context, preferExternal boolean) : File from class com.nostra13.universalimageloader.utils.StorageUtils
f45ea999ba6e90314a0ac085c131231031321db4;Inline Variable;Inline Variable	bmpData : byte[] in method protected getStreamFromContent(imageUri String, extra Object) : InputStream from class com.nostra13.universalimageloader.core.download.BaseImageDownloader
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.BaseMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to V in method public remove(key K) : V in class com.nostra13.universalimageloader.cache.memory.MemoryCacheAware
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.LargestLimitedMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.LimitedAgeMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.LruMemoryCache
37534aebed218b468aadb52aac57ce9e7e02784d;Change Return Type;Change Return Type	void to Bitmap in method public remove(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.impl.UsingFreqLimitedMemoryCache
4b361e7ec4a1c84a96350fd33c2ee5fa55126b6f;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageGridActivity.ImageAdapter.ViewHolder moved to com.nostra13.example.universalimageloader.ImageGridActivity.ViewHolder
4b361e7ec4a1c84a96350fd33c2ee5fa55126b6f;Move Class;Move Class	com.nostra13.example.universalimageloader.ImageListActivity.ItemAdapter.ViewHolder moved to com.nostra13.example.universalimageloader.ImageListActivity.ViewHolder
3f61478dfb0cdfac9c538ebe90823a2e2f8f9a98;Rename Class;Rename Class	com.nostra13.universalimageloader.utils.DiscCacheUtils renamed to com.nostra13.universalimageloader.utils.DiskCacheUtils
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to public run() : void in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private waitIfPaused() : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private tryLoadBitmap() : Bitmap in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private tryCacheImageOnDisk() : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private resizeAndSaveImage(maxWidth int, maxHeight int) : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private isViewCollected() : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private isViewReused() : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Inline Method;Inline Method	private log(message String) : void inlined to private isTaskInterrupted() : boolean in class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Move Attribute;Move Attribute	private writeLogs : boolean from class com.nostra13.universalimageloader.core.ImageLoaderConfiguration to class com.nostra13.universalimageloader.utils.L
81e3678e622c4f446d6ad04a3cef08692d7aaf22;Move Attribute;Move Attribute	private writeLogs : boolean from class com.nostra13.universalimageloader.core.LoadAndDisplayImageTask to class com.nostra13.universalimageloader.utils.L
5d2ce1cb08524f954196d2290f3dc7c9618f4a68;Change Attribute Type;Change Attribute Type	softMap : Map<K,Reference<V>> to softMap : Map<String,Reference<Bitmap>> in class com.nostra13.universalimageloader.cache.memory.BaseMemoryCache
5d2ce1cb08524f954196d2290f3dc7c9618f4a68;Change Return Type;Change Return Type	Collection<K> to Collection<String> in method public keys() : Collection<String> in class com.nostra13.universalimageloader.cache.memory.BaseMemoryCache
5d2ce1cb08524f954196d2290f3dc7c9618f4a68;Change Return Type;Change Return Type	V to Bitmap in method public get(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.BaseMemoryCache
5d2ce1cb08524f954196d2290f3dc7c9618f4a68;Change Parameter Type;Change Parameter Type	key : K to key : String in method public get(key String) : Bitmap in class com.nostra13.universalimageloader.cache.memory.BaseMemoryCache
