CommitId;RefactoringType;RefactoringDetail
aea2ff3417e30d6d4b1ce7e777cbd8bc83e1c95d;Extract Variable;Extract Variable	drawAngle : float in method private calcAngles() : void from class com.github.mikephil.charting.charts.PieChart
42cdba535f5af8076f3a376afba543c7e41eb9d0;Extract Variable;Extract Variable	entryLabel : String in method public drawValues(c Canvas) : void from class com.github.mikephil.charting.renderer.PieChartRenderer
e5b66192e7b303d7d25fc172b1878c055b554047;Change Variable Type;Change Variable Type	xAxisFormatter : IAxisValueFormatter to xAxisFormatter : ValueFormatter in method protected onCreate(savedInstanceState Bundle) : void in class com.xxmassdeveloper.mpchartexample.BarChartActivity
e5b66192e7b303d7d25fc172b1878c055b554047;Change Attribute Type;Change Attribute Type	xAxisValueFormatter : IAxisValueFormatter to xAxisValueFormatter : ValueFormatter in class com.xxmassdeveloper.mpchartexample.custom.XYMarkerView
e5b66192e7b303d7d25fc172b1878c055b554047;Change Parameter Type;Change Parameter Type	xAxisValueFormatter : IAxisValueFormatter to xAxisValueFormatter : ValueFormatter in method public XYMarkerView(context Context, xAxisValueFormatter ValueFormatter) in class com.xxmassdeveloper.mpchartexample.custom.XYMarkerView
e5b66192e7b303d7d25fc172b1878c055b554047;Rename Method;Rename Method	public getFormattedValue(value float, axis AxisBase) : String renamed to public getAxisLabel(value float, axis AxisBase) : String in class com.xxmassdeveloper.mpchartexample.custom.YearXAxisFormatter
e5b66192e7b303d7d25fc172b1878c055b554047;Change Return Type;Change Return Type	IValueFormatter to ValueFormatter in method public getDefaultValueFormatter() : ValueFormatter in class com.github.mikephil.charting.charts.Chart
e5b66192e7b303d7d25fc172b1878c055b554047;Change Attribute Type;Change Attribute Type	mAxisValueFormatter : IAxisValueFormatter to mAxisValueFormatter : ValueFormatter in class com.github.mikephil.charting.components.AxisBase
e5b66192e7b303d7d25fc172b1878c055b554047;Change Return Type;Change Return Type	IAxisValueFormatter to ValueFormatter in method public getValueFormatter() : ValueFormatter in class com.github.mikephil.charting.components.AxisBase
e5b66192e7b303d7d25fc172b1878c055b554047;Change Parameter Type;Change Parameter Type	f : IAxisValueFormatter to f : ValueFormatter in method public setValueFormatter(f ValueFormatter) : void in class com.github.mikephil.charting.components.AxisBase
e5b66192e7b303d7d25fc172b1878c055b554047;Change Attribute Type;Change Attribute Type	mValueFormatter : IValueFormatter to mValueFormatter : ValueFormatter in class com.github.mikephil.charting.data.BaseDataSet
