CommitId;RefactoringType;RefactoringDetail
c8d646ebf857a676a6b682b5e78d382c52b8c5ab;Rename Method;Rename Method	public clearOnDetach_afterLoadClearedAndRestarted_onAttach_beingsREquest() : void renamed to public clearOnDetach_afterLoadClearedAndRestarted_onAttach_beginsRequest() : void in class com.bumptech.glide.request.target.CustomViewTargetTest
6d833d9bad63c92fc77da1997c278ac415b199cb;Rename Attribute;Rename Attribute	isHardwareConfigAllowed : boolean to isFdSizeBelowHardwareLimit : boolean in class com.bumptech.glide.load.resource.bitmap.HardwareConfigState
5e89210fdda149095f77690e88d3255dcd8f99b7;Rename Attribute;Rename Attribute	isFdSizeBelowHardwareLimit : boolean to isHardwareConfigAllowed : boolean in class com.bumptech.glide.load.resource.bitmap.HardwareConfigState
f0d843ba7adc12fbb1bfb6bb3be94b3f300f863a;Rename Attribute;Rename Attribute	isHardwareConfigAllowed : boolean to isFdSizeBelowHardwareLimit : boolean in class com.bumptech.glide.load.resource.bitmap.HardwareConfigState
168ef64ac64c48e18d5cabcd8d183ed98c7e5855;Rename Attribute;Rename Attribute	isHardwareConfigAllowed : boolean to isFdSizeBelowHardwareLimit : boolean in class com.bumptech.glide.load.resource.bitmap.HardwareConfigState
d8278f43a94484f20822170b71ac7b66269a2aa6;Extract Method;Extract Method	private findAnnotationClassName(androidxName ClassName, supportName ClassName) : ClassName extracted from package visibleForTesting() : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
d8278f43a94484f20822170b71ac7b66269a2aa6;Extract Method;Extract Method	private findAnnotationClassName(androidxName ClassName, supportName ClassName) : ClassName extracted from package nonNull() : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
d8278f43a94484f20822170b71ac7b66269a2aa6;Extract Method;Extract Method	private findAnnotationClassName(androidxName ClassName, supportName ClassName) : ClassName extracted from package checkResult() : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
d8278f43a94484f20822170b71ac7b66269a2aa6;Rename Attribute;Rename Attribute	VISIBLE_FOR_TESTING : ClassName to SUPPORT_VISIBLE_FOR_TESTING : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
d8278f43a94484f20822170b71ac7b66269a2aa6;Rename Attribute;Rename Attribute	NONNULL_ANNOTATION : ClassName to SUPPORT_NONNULL_ANNOTATION : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
d8278f43a94484f20822170b71ac7b66269a2aa6;Rename Attribute;Rename Attribute	CHECK_RESULT_ANNOTATION : ClassName to SUPPORT_CHECK_RESULT_ANNOTATION : ClassName in class com.bumptech.glide.annotation.compiler.ProcessorUtil
65fb4c01167a8b77416a4ff0f2d85e56c7d8c177;Extract Method;Extract Method	private closeWriter(writer Writer) : void extracted from private rebuildJournal() : void in class com.bumptech.glide.disklrucache.DiskLruCache
65fb4c01167a8b77416a4ff0f2d85e56c7d8c177;Extract Method;Extract Method	private closeWriter(writer Writer) : void extracted from public close() : void in class com.bumptech.glide.disklrucache.DiskLruCache
65fb4c01167a8b77416a4ff0f2d85e56c7d8c177;Extract Method;Extract Method	private flushWriter(writer Writer) : void extracted from private edit(key String, expectedSequenceNumber long) : Editor in class com.bumptech.glide.disklrucache.DiskLruCache
65fb4c01167a8b77416a4ff0f2d85e56c7d8c177;Extract Method;Extract Method	private flushWriter(writer Writer) : void extracted from private completeEdit(editor Editor, success boolean) : void in class com.bumptech.glide.disklrucache.DiskLruCache
65fb4c01167a8b77416a4ff0f2d85e56c7d8c177;Extract Method;Extract Method	private flushWriter(writer Writer) : void extracted from public flush() : void in class com.bumptech.glide.disklrucache.DiskLruCache
ac2598897ee222be192c54b00bc6b805d3ffa0ef;Replace Variable With Attribute;Replace Variable With Attribute	compilation : Compilation to currentCompilation : Compilation in method private runTest(subject Subject) : void in class com.bumptech.glide.annotation.compiler.GlideExtensionOptionsTest
