CommitId;RefactoringType;RefactoringDetail
62a888101db1cc34c4bd280abea18964ec0685b1;Extract Method;Extract Method	private isLongTimeUnitBased(method Method) : boolean extracted from private isTimed(method Method) : boolean in class com.google.common.util.concurrent.GeneratedMonitorTest
57e4b6d560874946d7142103386f7f17384e1708;Extract Method;Extract Method	private constructUnknownDuplication(n int, elements Object...) : ImmutableSet<E> extracted from public copyOf(elements Collection<? extends E>) : ImmutableSet<E> in class com.google.common.collect.ImmutableSet
57e4b6d560874946d7142103386f7f17384e1708;Extract Method;Extract Method	private constructUnknownDuplication(n int, elements Object...) : ImmutableSet<E> extracted from public copyOf(elements E[]) : ImmutableSet<E> in class com.google.common.collect.ImmutableSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	capacity : int to expectedSize : int in method package CompactHashMap(expectedSize int) in class com.google.common.collect.CompactHashMap
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Variable;Extract Variable	oldCapacity : int in method public put(key K, value V) : V from class com.google.common.collect.CompactHashMap
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Method;Rename Method	package moveEntry(dstIndex int) : void renamed to package moveLastEntry(dstIndex int) : void in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Variable;Extract Variable	oldCapacity : int in method public add(object E) : boolean from class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Variable;Rename Variable	oldSize : int to oldCapacity : int in method package resizeEntries(newCapacity int) : void in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Variable;Rename Variable	index : int to currentIndex : int in method public iterator() : Iterator<E> in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	entryIndex : int to entry : int in method package getSuccessor(entry int) : int in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Method;Rename Method	private succeeds(pred int, succ int) : void renamed to private setSucceeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Method;Extract Method	private setSuccessor(entry int, succ int) : void extracted from private succeeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	pred : int to entry : int in method private setSuccessor(entry int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Method;Extract Method	private setPredecessor(entry int, pred int) : void extracted from private succeeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	capacity : int to expectedSize : int in method package CompactHashMap(expectedSize int) in class com.google.common.collect.CompactHashMap
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Variable;Extract Variable	oldCapacity : int in method public put(key K, value V) : V from class com.google.common.collect.CompactHashMap
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Method;Rename Method	package moveEntry(dstIndex int) : void renamed to package moveLastEntry(dstIndex int) : void in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Variable;Extract Variable	oldCapacity : int in method public add(object E) : boolean from class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Variable;Rename Variable	oldSize : int to oldCapacity : int in method package resizeEntries(newCapacity int) : void in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Variable;Rename Variable	index : int to currentIndex : int in method public iterator() : Iterator<E> in class com.google.common.collect.CompactHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	entryIndex : int to entry : int in method package getSuccessor(entry int) : int in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Method;Rename Method	private succeeds(pred int, succ int) : void renamed to private setSucceeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Method;Extract Method	private setSuccessor(entry int, succ int) : void extracted from private succeeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Rename Parameter;Rename Parameter	pred : int to entry : int in method private setSuccessor(entry int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
c86ee2657ba63f8d0feb4bb2cedf140a1a48cfab;Extract Method;Extract Method	private setPredecessor(entry int, pred int) : void extracted from private succeeds(pred int, succ int) : void in class com.google.common.collect.CompactLinkedHashSet
35c85d27c510552807b8ec643f897497e893e0e2;Extract Class;Extract Class	com.google.common.graph.ImmutableValueGraphTest from class com.google.common.graph.ImmutableGraphTest
35c85d27c510552807b8ec643f897497e893e0e2;Extract Class;Extract Class	com.google.common.graph.ImmutableValueGraphTest from class com.google.common.graph.ImmutableGraphTest
35c85d27c510552807b8ec643f897497e893e0e2;Move Method;Move Method	public immutableValueGraph() : void from class com.google.common.graph.ImmutableGraphTest to public immutableValueGraph() : void from class com.google.common.graph.ImmutableValueGraphTest
35c85d27c510552807b8ec643f897497e893e0e2;Move Method;Move Method	public copyOfImmutableValueGraph_optimized() : void from class com.google.common.graph.ImmutableGraphTest to public copyOfImmutableValueGraph_optimized() : void from class com.google.common.graph.ImmutableValueGraphTest
35c85d27c510552807b8ec643f897497e893e0e2;Move Method;Move Method	public immutableValueGraph() : void from class com.google.common.graph.ImmutableGraphTest to public immutableValueGraph() : void from class com.google.common.graph.ImmutableValueGraphTest
35c85d27c510552807b8ec643f897497e893e0e2;Move Method;Move Method	public copyOfImmutableValueGraph_optimized() : void from class com.google.common.graph.ImmutableGraphTest to public copyOfImmutableValueGraph_optimized() : void from class com.google.common.graph.ImmutableValueGraphTest
8d76ceb557d1fc9551f00dd4713670806c7f4732;Change Attribute Type;Change Attribute Type	keyHashTable : int[] to keyHashTable : Object in class com.google.common.collect.RegularImmutableBiMap
8d76ceb557d1fc9551f00dd4713670806c7f4732;Change Parameter Type;Change Parameter Type	valueHashTable : int[] to valueHashTable : Object in method private RegularImmutableBiMap(valueHashTable Object, alternatingKeysAndValues Object[], size int, inverse RegularImmutableBiMap<V,K>) in class com.google.common.collect.RegularImmutableBiMap
8d76ceb557d1fc9551f00dd4713670806c7f4732;Change Variable Type;Change Variable Type	valueHashTable : int[] to valueHashTable : Object in method package RegularImmutableBiMap(alternatingKeysAndValues Object[], size int) in class com.google.common.collect.RegularImmutableBiMap
8d76ceb557d1fc9551f00dd4713670806c7f4732;Change Attribute Type;Change Attribute Type	ABSENT : int to ABSENT : byte in class com.google.common.collect.RegularImmutableMap
8d76ceb557d1fc9551f00dd4713670806c7f4732;Change Attribute Type;Change Attribute Type	hashTable : int[] to hashTable : Object in class com.google.common.collect.RegularImmutableMap
