CommitId;RefactoringType;RefactoringDetail
553a475a2c64cf1058619db32739ae0370aec30b;Rename Attribute;Rename Attribute	actual : P to provider : P in class com.google.inject.testing.throwingproviders.CheckedProviderSubject
553a475a2c64cf1058619db32739ae0370aec30b;Rename Parameter;Rename Parameter	format : String to message : String in method package doFail(message String) : void in class com.google.inject.testing.throwingproviders.CheckedProviderSubject.UnexpectedFailureSubject
0ec6721319e621441ee8f7f971b6ab1c801561dc;Change Parameter Type;Change Parameter Type	module : Object to module : Class<?> in method private getModuleSource(module Class<?>) : ModuleSource in class com.google.inject.spi.Elements.RecordingBinder
0ec6721319e621441ee8f7f971b6ab1c801561dc;Change Variable Type;Change Variable Type	delegate : Object to delegateClass : Class<?> in method public install(module Module) : void in class com.google.inject.spi.Elements.RecordingBinder
0ec6721319e621441ee8f7f971b6ab1c801561dc;Rename Variable;Rename Variable	delegate : Object to delegateClass : Class<?> in method public install(module Module) : void in class com.google.inject.spi.Elements.RecordingBinder
0ec6721319e621441ee8f7f971b6ab1c801561dc;Rename Parameter;Rename Parameter	module : Object to moduleClass : Class<?> in method package ModuleSource(moduleClass Class<?>, partialCallStack StackTraceElement[]) in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Change Parameter Type;Change Parameter Type	module : Object to moduleClass : Class<?> in method package ModuleSource(moduleClass Class<?>, partialCallStack StackTraceElement[]) in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Rename Parameter;Rename Parameter	module : Object to moduleClass : Class<?> in method private ModuleSource(parent ModuleSource, moduleClass Class<?>, partialCallStack StackTraceElement[]) in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Change Parameter Type;Change Parameter Type	module : Object to moduleClass : Class<?> in method private ModuleSource(parent ModuleSource, moduleClass Class<?>, partialCallStack StackTraceElement[]) in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Rename Parameter;Rename Parameter	module : Object to moduleClass : Class<?> in method package createChild(moduleClass Class<?>, partialCallStack StackTraceElement[]) : ModuleSource in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Change Parameter Type;Change Parameter Type	module : Object to moduleClass : Class<?> in method package createChild(moduleClass Class<?>, partialCallStack StackTraceElement[]) : ModuleSource in class com.google.inject.spi.ModuleSource
0ec6721319e621441ee8f7f971b6ab1c801561dc;Extract And Move Method;Extract And Move Method	public getDelegateModuleClass() : Class<?> extracted from public install(module Module) : void in class com.google.inject.spi.Elements.RecordingBinder & moved to class com.google.inject.internal.ProviderMethodsModule
ff6d4ff432506af39534b8ab9318d605d7d1890b;Change Attribute Type;Change Attribute Type	daggerModuleObjects : Object[] to daggerModuleObjects : ImmutableList<Object> in class com.google.inject.daggeradapter.DaggerAdapter.DaggerCompatibilityModule
ff6d4ff432506af39534b8ab9318d605d7d1890b;Change Parameter Type;Change Parameter Type	daggerModuleObjects : Object... to daggerModuleObjects : ImmutableList<Object> in method private DaggerCompatibilityModule(daggerModuleObjects ImmutableList<Object>) in class com.google.inject.daggeradapter.DaggerAdapter.DaggerCompatibilityModule
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.Injector
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.internal.InjectorImpl
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.internal.InternalInjectorCreator.ToolStageInjector
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_injectMembers_returned() : void in class com.google.inject.spi.InjectorSpiTest
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_getInstance() : void in class com.google.inject.spi.InjectorSpiTest
81af4ad5ce1c2b28b0617747eca76367addbcb4e;Change Variable Type;Change Variable Type	injectionPoints : Multimap<TypeLiteral<?>,InjectionPoint> to injectionPoints : Map<TypeLiteral<?>,List<InjectionPoint>> in method public testGetAllMembersInjectorInjectionPoints_getInstanceAndInjectMembers() : void in class com.google.inject.spi.InjectorSpiTest
ac438d161cffb179321d0a16f6353999432b603e;Change Return Type;Change Return Type	ListMultimap<TypeLiteral<?>,InjectionPoint> to Map<TypeLiteral<?>,List<InjectionPoint>> in method public getAllMembersInjectorInjectionPoints() : Map<TypeLiteral<?>,List<InjectionPoint>> in class com.google.inject.Injector
