CommitId;RefactoringType;RefactoringDetail
81a6193a7b3f2b1bf25e78adc2638681b0514fe8;Change Attribute Type;Change Attribute Type	headers : Headers to headers : okhttp3.Headers in class retrofit2.ParameterHandler.Part
81a6193a7b3f2b1bf25e78adc2638681b0514fe8;Change Parameter Type;Change Parameter Type	headers : Headers to headers : okhttp3.Headers in method package Part(method Method, p int, headers okhttp3.Headers, converter Converter<T,RequestBody>) in class retrofit2.ParameterHandler.Part
81a6193a7b3f2b1bf25e78adc2638681b0514fe8;Change Variable Type;Change Variable Type	headers : Headers to headers : okhttp3.Headers in method package apply(builder RequestBuilder, value Map<String,T>) : void in class retrofit2.ParameterHandler.PartMap
a7755ea446804b1c1d27480679d10e682b121141;Change Attribute Type;Change Attribute Type	headers : Headers to headers : okhttp3.Headers in class retrofit2.ParameterHandler.Part
a7755ea446804b1c1d27480679d10e682b121141;Change Parameter Type;Change Parameter Type	headers : Headers to headers : okhttp3.Headers in method package Part(method Method, p int, headers okhttp3.Headers, converter Converter<T,RequestBody>) in class retrofit2.ParameterHandler.Part
a7755ea446804b1c1d27480679d10e682b121141;Change Variable Type;Change Variable Type	headers : Headers to headers : okhttp3.Headers in method package apply(builder RequestBuilder, value Map<String,T>) : void in class retrofit2.ParameterHandler.PartMap
85722f5f22187f3e7e5deb21aea622700821e6cc;Change Parameter Type;Change Parameter Type	callFactory : Call.Factory to callFactory : okhttp3.Call.Factory in method package HttpServiceMethod(requestFactory RequestFactory, callFactory okhttp3.Call.Factory, responseConverter Converter<ResponseBody,ResponseT>) in class retrofit2.HttpServiceMethod
85722f5f22187f3e7e5deb21aea622700821e6cc;Extract Variable;Extract Variable	call : Call<ResponseT> in method package invoke(args Object[]) : ReturnT from class retrofit2.HttpServiceMethod
85722f5f22187f3e7e5deb21aea622700821e6cc;Split Parameter;Split Parameter	method : Method to [returnType : Type, annotations : Annotation[]] in method private createCallAdapter(retrofit Retrofit, method Method, returnType Type, annotations Annotation[]) : CallAdapter<ResponseT,ReturnT> in class retrofit2.HttpServiceMethod
85722f5f22187f3e7e5deb21aea622700821e6cc;Change Parameter Type;Change Parameter Type	callFactory : Call.Factory to callFactory : okhttp3.Call.Factory in method package CallAdapted(requestFactory RequestFactory, callFactory okhttp3.Call.Factory, responseConverter Converter<ResponseBody,ResponseT>, callAdapter CallAdapter<ResponseT,ReturnT>) in class retrofit2.HttpServiceMethod.CallAdapted
85722f5f22187f3e7e5deb21aea622700821e6cc;Change Parameter Type;Change Parameter Type	call : OkHttpCall<ResponseT> to call : Call<ResponseT> in method protected adapt(call Call<ResponseT>, args Object[]) : ReturnT in class retrofit2.HttpServiceMethod.CallAdapted
